sourcenotation;sourcepreflabel;targetnotation
158.72;Job stress;QP 413
158.72;Job stress;CW 3000
158.72;Job stress;XE 9300
158.72;Job stress;CW 2000
158.723;Job burnout;CP 3500 
158.723;Job burnout;CP 3900
158.723;Job burnout;CW 2000
158.723;Job burnout;CW 3000
158.9;Systems and schools of applied psychology;CU 8000
16;Philosophical logic;CC 2000 - CC 2600
160;Philosophical logic;CC 2500 
161;Induction;CC 3300
162;Deduction;AK 20200
167;Hypotheses ;BG 2900
169;Analogy;BG 2820
18;Ancient, medieval & eastern philosophy;
180;Ancient, medieval, eastern philosophy;CD 1600
180-190;History, geographic treatment, biography ;
180.937;Roman philosophy, . . .;CD 3700 - CD 7467 
181;Eastern philosophy;E 1150
181;Eastern philosophy;CI 8500 - CI 9599 
181;Eastern philosophy;CI 9700 - CI 9750 
181.043;Buddhist philosophy, . . .;CI 8550
181.06;Jewish philosophy, . . .;CD 1400
181.07;Islamic philosophy, . . .;CI 9700
181.1;Far East and South Asia;CI 9700 - CI 9750 
181.11;China and Korea;CI 9100 - CI 9499 
181.11;China and Korea;CI 9500 - CI 9530
181.112;Confucian philosophy;CI 8520  
181.112;Confucian philosophy;CI 9114 
181.112;Confucian philosophy;CI 9520
181.112;Confucian philosophy;CI 9524 
181.112-181.115;Schools of Chinese phiLosophy;CI 9524 
181.119;Korea;CI 9500 - CI 9530
181.12;Japan;CI 8900 - CI 9094 
181.15;Pakistan and Bangladesh;CI 9599
181.16;Indonesia;CI 9599
181.17;Philippines;CI 9599
181.19;Southeast Asia;CI 9599
181.4;India;CI 8700 - CI 8884 
181.41;Sankhya;CI 8720
181.42;Mimamsa;CI 8720
181.43;Nyaya ;CI 8720
181.44;Vai?e?; CI 8720
181.48;Vedanta;CI 8710
181.92;Arabia;CD 1300
182;Pre-Socratic Greek philosophies;CD 1600 - CD 3697 
182-188;Ancient western philosophy;CD 1100 - CI 8000
182.2;Pythagorean philosophy ;CD 3300 
182.3;Eleatic philosophy;CD 2350 - CD 2367 
182.4;Heraclitean philosophy;CD 2650 - CD 2667
182.5;Empedoclean philosophy;CD 2350 - CD 2367
182.8;Anaxagorean philosophy;CD 1900 - CD 1917
183.1;Sophistic philosophy;CD 1695 - CD 1700 
183.2;Socratic philosophy;CD 3350 - CD 3367 
184;Platonic philosophy;CD 3050 - CD 3067
185;Aristotelian philosophy;CD 2050 - CD 2067
186;Skeptic and Neoplatonic philosophies;CD 3845 - CD 3850
186.3;Eclectic philosophy;LH 67548 
187;Epicurean philosophy;CD 5250 - CD 5267
188;Stoic philosophy;CD 3795 - CD 3800
189;Medieval western philosophy;CE 1050 - CE 4977
189.2;Patristic philosophy;CE 1080 - CE 1090
189.4;Scholastic philosophy;CE 1095 - CE 1100
189.5;Mystic philosophy;BD 3980
19;Modern western philosophy;CE 5100 - CE 8501 
190.8827;Christian philosophy;BF 1530 
190.8827;Christian philosophy;CC 8480 - CC 8500
190.8827;Christian philosophy;BF 8800
190.9031;Philosophie--16. Jahrhundert;CE 5100 - CE 8501 
190.904;Modern philosophy, . . .;CI 1000 - CI 8300
191;Philosophy of United States and Canada;CD 1250
192;Philosophy of British Isles;CD 1250
193;Philosophy of Germany and Austria;CD 1350
194;Philosophy of France;CD 1450
195;Philosophy of Italy;CD 1420
196;Philosophy of Spain and Portugal;CD 1470
196.1;Spain;CD 1470
196.9;Portugal;CD 1470
198;Philosophy of Scandinavia and Finland;CI 8200 - CI 8300
198.5;Sweden;CI 8200 - CI 8300
198.8;Finland ;CI 8200 - CI 8300
198.9;Denmark; CI 8200 - CI 8300
